Gene group	Human_Accessory	Human_StrictFilt_scoary	Insect_Accessory	Insect_StrictFilt_scoary	Plant_Accessory	Plant_StrictFilt_scoary	Coeff
Human_Accessory	0	0.791130185979971	0.571209800918836	0.968934911242604	0.625377643504532	0.904411764705882	Jaccard all
Human_StrictFilt_scoary	0.791130185979971	0	0.896247240618102	0.964705882352941	0.880281690140845	0.980392156862745	Jaccard all
Insect_Accessory	0.571209800918836	0.896247240618102	0	0.952380952380952	0.472972972972973	0.86039886039886	Jaccard all
Insect_StrictFilt_scoary	0.968934911242604	0.964705882352941	0.952380952380952	0	0.962145110410095	0.948717948717949	Jaccard all
Plant_Accessory	0.625377643504532	0.880281690140845	0.472972972972973	0.962145110410095	0	0.755775577557756	Jaccard all
Plant_StrictFilt_scoary	0.904411764705882	0.980392156862745	0.86039886039886	0.948717948717949	0.755775577557756	0	Jaccard all
Human_Accessory	0	0.801901743264659	0.567839195979899	0.972536348949919	0.622923588039867	0.915857605177994	Jaccard GO
Human_StrictFilt_scoary	0.801901743264659	0	0.900249376558604	0.962616822429906	0.881401617250674	0.992125984251968	Jaccard GO
Insect_Accessory	0.567839195979899	0.900249376558604	0	0.950980392156863	0.470238095238095	0.869426751592357	Jaccard GO
Insect_StrictFilt_scoary	0.972536348949919	0.962616822429906	0.950980392156863	0	0.964912280701754	0.9375	Jaccard GO
Plant_Accessory	0.622923588039867	0.881401617250674	0.470238095238095	0.964912280701754	0	0.785977859778598	Jaccard GO
Plant_StrictFilt_scoary	0.915857605177994	0.992125984251968	0.869426751592357	0.9375	0.785977859778598	0	Jaccard GO
Human_Accessory	0	0.29126213592233	0.047619047619048	0.637931034482759	0.084870848708487	0.386792452830189	Szymkiewicz–Simpson all
Human_StrictFilt_scoary	0.29126213592233	0	0.771844660194175	0.844827586206896	0.752427184466019	0.943396226415094	Szymkiewicz–Simpson all
Insect_Accessory	0.047619047619048	0.771844660194175	0	0.724137931034483	0.280442804428044	0.537735849056604	Szymkiewicz–Simpson all
Insect_StrictFilt_scoary	0.637931034482759	0.844827586206896	0.724137931034483	0	0.793103448275862	0.862068965517241	Szymkiewicz–Simpson all
Plant_Accessory	0.084870848708487	0.752427184466019	0.280442804428044	0.793103448275862	0	0.30188679245283	Szymkiewicz–Simpson all
Plant_StrictFilt_scoary	0.386792452830189	0.943396226415094	0.537735849056604	0.862068965517241	0.30188679245283	0	Szymkiewicz–Simpson all
Human_Accessory	0	0.269005847953216	0.044444444444444	0.666666666666667	0.069672131147541	0.388235294117647	Szymkiewicz–Simpson GO
Human_StrictFilt_scoary	0.269005847953216	0	0.766081871345029	0.843137254901961	0.742690058479532	0.976470588235294	Szymkiewicz–Simpson GO
Insect_Accessory	0.044444444444444	0.766081871345029	0	0.705882352941176	0.270491803278688	0.517647058823529	Szymkiewicz–Simpson GO
Insect_StrictFilt_scoary	0.666666666666667	0.843137254901961	0.705882352941176	0	0.803921568627451	0.843137254901961	Szymkiewicz–Simpson GO
Plant_Accessory	0.069672131147541	0.742690058479532	0.270491803278688	0.803921568627451	0	0.317647058823529	Szymkiewicz–Simpson GO
Plant_StrictFilt_scoary	0.388235294117647	0.976470588235294	0.517647058823529	0.843137254901961	0.317647058823529	0	Szymkiewicz–Simpson GO
