Assembly	Host	Group	MGE	ID	Num
GCF_000783915.2_ASM78391v2	Human	Human_StrictFilt_scoary	IS	NZ_CP026050.1_IS_1	1
GCF_000783915.2_ASM78391v2	Human	Human_StrictFilt_scoary	IS	NZ_CP026050.1_IS_2	1
GCF_000783915.2_ASM78391v2	Human	Human_StrictFilt_scoary	IS	NZ_CP026050.1_IS_5	1
GCF_000783915.2_ASM78391v2	Human	Human_StrictFilt_scoary	IS	NZ_CP026050.1_IS_7	1
GCF_000783915.2_ASM78391v2	Human	Human_StrictFilt_scoary	IS	NZ_CP026050.1_IS_9	1
GCF_001022215.1_ASM102221v1	Human	Human_StrictFilt_scoary	IS	NZ_CP011639.1_IS_3	1
GCF_001022215.1_ASM102221v1	Human	Human_StrictFilt_scoary	IS	NZ_CP011639.1_IS_5	1
GCF_001022215.1_ASM102221v1	Human	Human_StrictFilt_scoary	IS	NZ_CP011642.1_IS_4	1
GCF_001022215.1_ASM102221v1	Human	Human_StrictFilt_scoary	IS	NZ_CP011642.1_IS_5	1
GCF_001022215.1_ASM102221v1	Human	Human_StrictFilt_scoary	IS	NZ_CP011642.1_IS_16	1
GCF_001022215.1_ASM102221v1	Human	Human_StrictFilt_scoary	IS	NZ_CP011642.1_IS_37	1
GCF_001022215.1_ASM102221v1	Human	Human_StrictFilt_scoary	IS	NZ_CP011642.1_IS_53	1
GCF_001022215.1_ASM102221v1	Human	Human_StrictFilt_scoary	IS	NZ_CP011642.1_IS_67	1
GCF_002220595.1_ASM222059v1	Human	Human_StrictFilt_scoary	IS	NZ_CP018930.1_IS_4	1
GCF_003031545.1_ASM303154v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020503.1_IS_26	1
GCF_003031545.1_ASM303154v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020503.1_IS_37	1
GCF_003031545.1_ASM303154v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020503.1_IS_47	1
GCF_003031545.1_ASM303154v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020503.1_IS_66	1
GCF_003031545.1_ASM303154v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020503.1_IS_75	1
GCF_003031545.1_ASM303154v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020503.1_IS_124	1
GCF_003031545.1_ASM303154v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020503.1_IS_126	2
GCF_003031545.1_ASM303154v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020506.1_IS_3	1
GCF_003031645.1_ASM303164v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020507.1_IS_23	1
GCF_003031645.1_ASM303164v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020507.1_IS_35	1
GCF_003031645.1_ASM303164v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020507.1_IS_44	1
GCF_003031645.1_ASM303164v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020507.1_IS_62	1
GCF_003031645.1_ASM303164v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020507.1_IS_70	1
GCF_003031645.1_ASM303164v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020507.1_IS_109	1
GCF_003031645.1_ASM303164v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020507.1_IS_110	2
GCF_003031645.1_ASM303164v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020508.1_IS_28	1
GCF_003031645.1_ASM303164v1	Human	Human_StrictFilt_scoary	IS	NZ_CP020508.1_IS_30	1
GCF_003146705.1_ASM314670v1	Human	Human_StrictFilt_scoary	IS	NZ_CP029446.1_IS_3	1
GCF_003146705.1_ASM314670v1	Human	Human_StrictFilt_scoary	IS	NZ_CP029446.1_IS_5	1
GCF_003146705.1_ASM314670v1	Human	Human_StrictFilt_scoary	IS	NZ_CP029449.1_IS_5	1
GCF_003146705.1_ASM314670v1	Human	Human_StrictFilt_scoary	IS	NZ_CP029449.1_IS_6	1
GCF_003146705.1_ASM314670v1	Human	Human_StrictFilt_scoary	IS	NZ_CP029449.1_IS_19	1
GCF_003146705.1_ASM314670v1	Human	Human_StrictFilt_scoary	IS	NZ_CP029449.1_IS_40	1
GCF_003146705.1_ASM314670v1	Human	Human_StrictFilt_scoary	IS	NZ_CP029449.1_IS_56	1
GCF_003146705.1_ASM314670v1	Human	Human_StrictFilt_scoary	IS	NZ_CP029449.1_IS_70	1
GCF_006711125.1_ASM671112v1	Human	Human_StrictFilt_scoary	IS	NZ_CP041125.1_IS_6	1
GCF_006711145.1_ASM671114v1	Human	Human_StrictFilt_scoary	IS	NZ_CP041126.1_IS_7	1
GCF_006711405.1_ASM671140v1	Human	Human_StrictFilt_scoary	IS	NZ_CP041130.1_IS_6	1
GCF_006711525.1_ASM671152v1	Human	Human_StrictFilt_scoary	IS	NZ_CP041131.1_IS_5	1
GCF_006711525.1_ASM671152v1	Human	Human_StrictFilt_scoary	IS	NZ_CP041131.1_IS_6	1
GCF_006716825.1_ASM671682v1	Human	Human_StrictFilt_scoary	IS	NZ_CP041134.1_IS_6	1
GCF_006842785.1_ASM684278v1	Human	Human_StrictFilt_scoary	IS	NZ_CP041123.1_IS_6	1
GCF_009858195.1_ASM985819v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047392.1_IS_1	4
GCF_009858195.1_ASM985819v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047392.1_IS_2	1
GCF_009909345.1_ASM990934v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047680.1_IS_3	1
GCF_009909345.1_ASM990934v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047680.1_IS_4	2
GCF_009909345.1_ASM990934v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047680.1_IS_5	3
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047682.1_IS_5	1
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047682.1_IS_6	1
